ZipCode,Count
10027,2
10035,2
10306,4
10312,4
10541,2
10598,2
10920,2
10952,2
11003,2
11570,2
11772,4
12345,4
12550,2
12586,2
13077,2
14075,12
14085,4
14086,20
14094,18
14150,10
14224,8
14226,8
14227,6
14424,2
14450,4
14468,2
14564,4
14624,2
14626,10
15001,10
15003,4
15025,8
15044,12
15057,8
15062,2
15067,2
15074,8
15083,2
15084,8
15090,10
15101,12
15106,6
15116,14
15120,6
15122,6
15126,2
15137,8
15143,14
15146,6
15201,2
15205,4
15210,4
15213,2
15215,6
15216,12
15220,2
15227,10
15236,6
15237,14
15238,4
15239,6
15243,2
15301,20
15317,4
15333,4
15350,2
15367,8
15401,14
15410,2
15427,2
15456,2
15461,4
15480,2
15601,12
15613,2
15642,16
15655,2
15666,8
15679,2
15701,6
15717,2
15801,8
15926,2
16001,20
16046,14
16066,16
16121,4
16125,2
16137,6
16146,4
16159,6
16229,4
16510,6
16601,10
16827,6
17011,2
17013,6
17015,12
17018,2
17019,2
17022,12
17025,10
17033,4
17050,18
17051,2
17067,2
17109,6
17110,4
17111,6
17112,2
17201,6
17202,12
17222,4
17257,10
17268,14
17313,4
17318,2
17322,4
17327,2
17339,6
17345,12
17347,6
17349,4
17356,10
17362,2
17368,4
17370,4
17404,8
17406,10
17517,2
17519,8
17522,18
17538,4
17543,8
17551,8
17603,20
17728,2
17752,2
17821,4
17837,2
17857,2
17870,8
18015,4
18045,2
18052,6
18058,2
18062,2
18064,4
18092,4
18214,4
18321,2
18326,4
18411,6
18447,2
18452,4
18504,4
18642,6
18643,2
18708,2
18914,8
18925,2
18940,6
18951,14
18954,4
18964,10
18966,6
19001,8
19002,10
19006,6
19015,14
19018,2
19020,10
19033,8
19046,2
19047,8
19053,4
19057,6
19063,12
19064,4
19067,14
19073,4
19078,4
19087,8
19317,8
19320,32
19330,2
19333,4
19335,12
19344,14
19350,2
19355,8
19363,12
19382,28
19401,8
19405,2
19406,4
19422,6
19425,4
19426,8
19438,6
19446,10
19464,2
19520,2
19606,12
19608,6
19609,4
19610,4
19702,6
19709,12
19734,4
19803,8
